ita_id;id_ras_activity_data;ita_t;ita_micro;ita_mili ;ita_x;ita_y;ita_z;ita_is_calibration_data
18049299;3799;1,69564E+12;236181437;2800;0.112466134;-0.11287099;0.038303863;true
18049300;3799;1,69564E+12;236198104;2816;0.07127047;-0.08669641;0.08382566;true
18049301;3799;1,69564E+12;236214771;2833;0.101427704;-0.030704048;0.08643235;true
18049302;3799;1,69564E+12;236231438;2850;0.11952797;-0.062157102;0.06532799;true
18049303;3799;1,69564E+12;236248105;2866;0.08132685;-0.107775696;0.064032145;true
18049304;3799;1,69564E+12;236264772;2883;0.075100236;-0.090781406;0.09502298;true
18049305;3799;1,69564E+12;236281439;2900;0.015602699;-0.100957;0.11639685;true
18049306;3799;1,69564E+12;236298106;2916;-0.08894279;-0.09442606;0.062011186;true
18049307;3799;1,69564E+12;236314773;2933;0.0014945231;-0.042084493;0.06470338;true
18049308;3799;1,69564E+12;236331440;2950;-0.05955786;-0.002880564;0.05284012;true
18049309;3799;1,69564E+12;236348107;2966;-0.12932439;-0.017281651;0.10562403;true
18049310;3799;1,69564E+12;236364774;2983;-0.17365208;0.016692895;0.13173394;true
18049311;3799;1,69564E+12;236381441;3000;-0.21325763;0.02033208;0.14822331;true
18049312;3799;1,69564E+12;236398108;3016;-0.17865813;0.014043169;0.18263817;true
18049313;3799;1,69564E+12;236414775;3033;-0.14974998;0.04810567;0.18559995;true
18049314;3799;1,69564E+12;236431442;3050;-0.12894242;0.05027562;0.180519;true
18049315;3799;1,69564E+12;236448109;3066;0.00831835;0.1794342;0.18142927;true
18049316;3799;1,69564E+12;236464776;3083;-0.04980146;0.20332353;0.08760509;true
18049317;3799;1,69564E+12;236481443;3100;0.031203985;0.098310865;0.06845311;true
18049318;3799;1,69564E+12;236498110;3116;0.13198724;0.042060867;0.12496136;true
18049319;3799;1,69564E+12;236514777;3133;0.13457751;0.047406815;0.09374094;true
18049320;3799;1,69564E+12;236531444;3150;0.039452635;0.0033816316;0.019830983;true
18049321;3799;1,69564E+12;236548111;3166;0.055234205;-0.10021423;0.032227334;true
18049322;3799;1,69564E+12;236564778;3183;0.12693766;-0.10695671;0.111578204;true
18049323;3799;1,69564E+12;236581445;3200;0.07541464;-0.008929672;0.094174586;true
18049324;3799;1,69564E+12;236598112;3216;0.012734038;0.003439489;0.07246059;true
18049325;3799;1,69564E+12;236614779;3233;0.07399164;-0.038482964;0.074739;true
18049326;3799;1,69564E+12;236631446;3250;0.08026784;-0.05331683;0.11443452;true
18049327;3799;1,69564E+12;236648113;3266;0.10763387;-0.032282103;0.088210665;true
18049328;3799;1,69564E+12;236664780;3283;0.06517611;-0.052136064;0.084919274;true
18049329;3799;1,69564E+12;236681447;3300;0.08940289;-0.07417297;0.09190546;true
18049330;3799;1,69564E+12;236698114;3316;0.038682066;-0.06682709;0.06852279;true
18049331;3799;1,69564E+12;236714781;3333;0.09992761;-0.038156845;0.067146786;true
18049332;3799;1,69564E+12;236731448;3350;0.04265239;-0.06559085;0.06693995;true
